"","stationName","latitude","longitude","stAddress1"
"1","6 Ave & Canal St","40.72243797","-74.00566443","6 Ave & Canal St"
"2","Broadway & E 22 St","40.7403432","-73.98955109","Broadway & E 22 St"
"3","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","8 Ave & W 31 St"
"4","W 52 St & 6 Ave","40.7613298312481","-73.9798200130463","W 52 St & 6 Ave"
"5","W 52 St & 11 Ave","40.76727216","-73.99392888","W 52 St & 11 Ave"
"6","Franklin St & W Broadway","40.71911552","-74.00666661","Franklin St & W Broadway"
"7","St James Pl & Pearl St","40.71117416","-74.00016545","St James Pl & Pearl St"
"8","Atlantic Ave & Fort Greene Pl","40.68382604","-73.97632328","Atlantic Ave & Fort Greene Pl"
"9","Park Ave & St Edwards St","40.69608941","-73.97803415","Park Ave & St Edwards St"
"10","Lexington Ave & Classon Ave","40.68676793","-73.95928168","Lexington Ave & Classon Ave"
"11","Barrow St & Hudson St","40.73172428","-74.00674436","Barrow St & Hudson St"
"12","MacDougal St & Prince St","40.72710258","-74.00297088","MacDougal St & Prince St"
"13","Clinton St & Joralemon St","40.69239502","-73.99337909","Clinton St & Joralemon St"
"14","Nassau St & Navy St","40.69839895","-73.98068914","Nassau St & Navy St"
"15","Hudson St & Reade St","40.71625008","-74.0091059","Hudson St & Reade St"
"16","E 2 St & Avenue C","40.7208736","-73.98085795","E 2 St & Avenue C"
"17","Cleveland Pl & Spring St","40.722103786686","-73.997249007225","Cleveland Pl & Spring St"
"18","Henry St & Atlantic Ave","40.69089272","-73.99612349","Henry St & Atlantic Ave"
"19","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","LaGuardia Pl & W 3 St"
"20","E 47 St & 2 Ave","40.75323098","-73.97032517","E 47 St & 2 Ave"
"21","E 39 St & 3 Ave","40.7489006","-73.97604882","E 39 St & 3 Ave"
"22","W 18 St & 6 Ave","40.73971301","-73.99456405","W 18 St & 6 Ave"
"23","Broadway & W 49 St","40.7606832709659","-73.9845272898674","Broadway & W 49 St"
"24","E 25 St & 1 Ave","40.7381765","-73.97738662","E 25 St & 1 Ave"
"25","Liberty St & Broadway","40.70905623","-74.01043382","Liberty St & Broadway"
"26","W 16 St & The High Line","40.74334935","-74.00681753","W 16 St & The High Line"
"27","Columbia Heights & Cranberry St","40.70037867","-73.99548059","Columbia Heights & Cranberry St"
"28","Old Fulton St","40.70277159","-73.99383605","Old Fulton St"
"29","W 13 St & 7 Ave","40.73781509","-73.99994661","W 13 St & 7 Ave"
"30","Spruce St & Nassau St","40.71146364","-74.00552427","Spruce St & Nassau St"
"31","E 48 St & 3 Ave","40.7546011026","-73.971878855","E 48 St & 3 Ave"
"32","Great Jones St","40.72743423","-73.99379025","Great Jones St"
"33","St Marks Pl & 2 Ave","40.7284186","-73.98713956","St Marks Pl & 2 Ave"
"34","E 11 St & 2 Ave","40.73047309","-73.98672378","E 11 St & 2 Ave"
"35","Bank St & Washington St","40.7361967","-74.00859207","Bank St & Washington St"
"36","Willoughby St & Fleet St","40.69196566","-73.9813018","Willoughby St & Fleet St"
"37","DeKalb Ave & S Portland Ave","40.68981035","-73.97493121","DeKalb Ave & S Portland Ave"
"38","Carlton Ave & Flushing Ave","40.697787","-73.973736","Carlton Ave & Flushing Ave"
"39","Fulton St & Rockwell Pl","40.688226","-73.979382","Fulton St & Rockwell Pl"
"40","Willoughby Ave & Hall St","40.69196035","-73.96536851","Willoughby Ave & Hall St"
"41","Myrtle Ave & St Edwards St","40.69327018","-73.97703874","Myrtle Ave & St Edwards St"
"42","Perry St & Bleecker St","40.73535398","-74.00483091","Perry St & Bleecker St"
"43","Laight St & Hudson St","40.72185379","-74.00771779","Laight St & Hudson St"
"44","Harrison St & Hudson St","40.71870987","-74.0090009","Harrison St & Hudson St"
"45","Mott St & Prince St","40.72317958","-73.99480012","Mott St & Prince St"
"46","MacDougal St & Washington Sq","40.73226398","-73.99852205","MacDougal St & Washington Sq"
"47","W 11 St & 6 Ave","40.73532427","-73.99800419","W 11 St & 6 Ave"
"48","Lispenard St & Broadway","40.71939226","-74.00247214","Lispenard St & Broadway"
"49","DeKalb Ave & Vanderbilt Ave","40.68940747","-73.96885458","DeKalb Ave & Vanderbilt Ave"
"50","South St & Whitehall St","40.70122128","-74.01234218","South St & Whitehall St"
"51","Broad St & Bridge St","40.70365182","-74.01167797","Broad St & Bridge St"
"52","Johnson St & Gold St","40.69474881","-73.98362464","Johnson St & Gold St"
"53","Washington Park","40.6917823","-73.9737299","Washington Park"
"54","Maiden Ln & Pearl St","40.70706456","-74.00731853","Maiden Ln & Pearl St"
"55","Stanton St & Chrystie St","40.72229346","-73.99147535","Stanton St & Chrystie St"
"56","Avenue D & E 8 St","40.72368361","-73.97574813","Avenue D & E 8 St"
"57","Broadway & W 36 St","40.75097711","-73.98765428","Broadway & W 36 St"
"58","Howard St & Centre St","40.71910537","-73.99973337","Howard St & Centre St"
"59","Adelphi St & Myrtle Ave","40.69308257","-73.97178913","Adelphi St & Myrtle Ave"
"60","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","Lafayette Ave & Fort Greene Pl"
"61","Washington Ave & Greene Ave","40.68650065","-73.96563307","Washington Ave & Greene Ave"
"62","Duane St & Greenwich St","40.71748752","-74.0104554","Duane St & Greenwich St"
"63","Concord St & Bridge St","40.69766564","-73.98476437","Concord St & Bridge St"
"64","Peck Slip & Front St","40.707873","-74.00167","Peck Slip & Front St"
"65","E 10 St & 5 Ave","40.73331967","-73.99510132","E 10 St & 5 Ave"
"66","Grand Army Plaza & Central Park S","40.7643971","-73.97371465","Grand Army Plaza & Central Park S"
"67","Kent Ave & S 11 St","40.7076449441757","-73.9684152603149","Kent Ave & S 11 St"
"68","Broadway & E 14 St","40.73454567","-73.99074142","Broadway & E 14 St"
"69","Monroe St & Classon Ave","40.6845683","-73.95881081","Monroe St & Classon Ave"
"70","Madison St & Montgomery St","40.713126","-73.984844","Madison St & Montgomery St"
"71","Lafayette St & E 8 St","40.7302066052995","-73.9910262823105","Lafayette St & E 8 St"
"72","Pike St & E Broadway","40.71406667","-73.99293911","Pike St & E Broadway"
"73","Division St & Bowery","40.71413089","-73.9970468","Division St & Bowery"
"74","E 15 St & 3 Ave","40.734232","-73.986923","E 15 St & 3 Ave"
"75","3 Ave & Schermerhorn St","40.68683208","-73.9796772","3 Ave & Schermerhorn St"
