"","name","Measure","geo_type_name","geo_entity_id","geo_entity_name","year_description","data_value"
"1","Fine Particulate Matter (PM2.5)","Mean","CD",101,"Financial District (CD1)","Annual Average 2016",9.56
"2","Fine Particulate Matter (PM2.5)","Mean","CD",102,"Greenwich Village and Soho (CD2)","Annual Average 2016",9.53
"3","Fine Particulate Matter (PM2.5)","Mean","CD",103,"Lower East Side and Chinatown (CD3)","Annual Average 2016",8.9
"4","Fine Particulate Matter (PM2.5)","Mean","CD",104,"Clinton and Chelsea (CD4)","Annual Average 2016",9.76
"5","Fine Particulate Matter (PM2.5)","Mean","CD",105,"Midtown (CD5)","Annual Average 2016",11.34
"6","Fine Particulate Matter (PM2.5)","Mean","CD",106,"Stuyvesant Town and Turtle Bay (CD6)","Annual Average 2016",10.21
"7","Fine Particulate Matter (PM2.5)","Mean","CD",107,"Upper West Side (CD7)","Annual Average 2016",8.49
"8","Fine Particulate Matter (PM2.5)","Mean","CD",108,"Upper East Side (CD8)","Annual Average 2016",9.1
"9","Fine Particulate Matter (PM2.5)","Mean","CD",109,"Morningside Heights and Hamilton Heights (CD9)","Annual Average 2016",8.01
"10","Fine Particulate Matter (PM2.5)","Mean","CD",110,"Central Harlem (CD10)","Annual Average 2016",7.89
"11","Fine Particulate Matter (PM2.5)","Mean","CD",111,"East Harlem (CD11)","Annual Average 2016",8.17
"12","Fine Particulate Matter (PM2.5)","Mean","CD",112,"Washington Heights and Inwood (CD12)","Annual Average 2016",7.79
"13","Fine Particulate Matter (PM2.5)","Mean","CD",201,"Mott Haven and Melrose (CD1)","Annual Average 2016",8.55
"14","Fine Particulate Matter (PM2.5)","Mean","CD",202,"Hunts Point and Longwood (CD2)","Annual Average 2016",8.49
"15","Fine Particulate Matter (PM2.5)","Mean","CD",203,"Morrisania and Crotona (CD3)","Annual Average 2016",7.85
"16","Fine Particulate Matter (PM2.5)","Mean","CD",204,"Highbridge and Concourse (CD4)","Annual Average 2016",8.25
"17","Fine Particulate Matter (PM2.5)","Mean","CD",205,"Fordham and University Heights (CD5)","Annual Average 2016",8.34
"18","Fine Particulate Matter (PM2.5)","Mean","CD",206,"Belmont and East Tremont (CD6)","Annual Average 2016",7.96
"19","Fine Particulate Matter (PM2.5)","Mean","CD",207,"Kingsbridge Heights and Bedford (CD7)","Annual Average 2016",7.78
"20","Fine Particulate Matter (PM2.5)","Mean","CD",208,"Riverdale and Fieldston (CD8)","Annual Average 2016",7.49
"21","Fine Particulate Matter (PM2.5)","Mean","CD",209,"Parkchester and Soundview (CD9)","Annual Average 2016",7.6
"22","Fine Particulate Matter (PM2.5)","Mean","CD",210,"Throgs Neck and Co-op City (CD10)","Annual Average 2016",7.51
"23","Fine Particulate Matter (PM2.5)","Mean","CD",211,"Morris Park and Bronxdale (CD11)","Annual Average 2016",7.4
"24","Fine Particulate Matter (PM2.5)","Mean","CD",212,"Williamsbridge and Baychester (CD12)","Annual Average 2016",7.46
"25","Fine Particulate Matter (PM2.5)","Mean","CD",301,"Greenpoint and Williamsburg (CD1)","Annual Average 2016",9.55
