,long_name,Community.District,X2016,ADDRESS_Ext,lon,lat,markers
1,"Median rent, asking",Bushwick,2599,"Bushwick,New York, NY",-73.9170604,40.6957755,"$2,599.00 "
2,"Median rent, asking",East New York and Starrett City,1900,"East New York and Starrett City,New York, NY",-73.8744337,40.6591527,"$1,900.00 "
3,"Median rent, asking",Park Slope and Carroll Gardens,2900,"Park Slope and Carroll Gardens,New York, NY",-73.9955942,40.6796053,"$2,900.00 "
4,"Median rent, asking",Sunset Park,2100,"Sunset Park,New York, NY",-74.0093348,40.65272,"$2,100.00 "
5,"Median rent, asking",Crown Heights and Prospect Heights,2500,"Crown Heights and Prospect Heights,New York, NY",-73.9668408,40.6774196,"$2,500.00 "
6,"Median rent, asking",South Crown Heights and Lefferts Gardens,2022,"South Crown Heights and Lefferts Gardens,New York, NY",-73.9481324,40.6612071,"$2,022.00 "
7,"Median rent, asking",Bay Ridge and Dyker Heights,2000,"Bay Ridge and Dyker Heights,New York, NY",-74.009584,40.6214932,"$2,000.00 "
8,"Median rent, asking",Bensonhurst,1785,"Bensonhurst,New York, NY",-73.9921833,40.6139307,"$1,785.00 "
9,"Median rent, asking",Borough Park,2000,"Borough Park,New York, NY",-73.9921028,40.6350319,"$2,000.00 "
10,"Median rent, asking",Coney Island,1850,"Coney Island,New York, NY",-73.9707016,40.5755438,"$1,850.00 "
11,"Median rent, asking",Flatbush and Midwood,1850,"Flatbush and Midwood,New York, NY",-73.9605774,40.6594953,"$1,850.00 "
12,"Median rent, asking",Sheepshead Bay,1750,"Sheepshead Bay,New York, NY",-73.9457538,40.5953955,"$1,750.00 "
13,"Median rent, asking",Brownsville,1650,"Brownsville,New York, NY",-73.9125304,40.665214,"$1,650.00 "
14,"Median rent, asking",East Flatbush,1675,"East Flatbush,New York, NY",-73.9299899,40.6481656,"$1,675.00 "
15,"Median rent, asking",Flatlands and Canarsie,1800,"Flatlands and Canarsie,New York, NY",-73.9032937,40.6419051,"$1,800.00 "
16,"Median rent, asking",Long Island City and Astoria,2250,"Long Island City and Astoria,New York, NY",-73.9234619,40.7643574,"$2,250.00 "
17,"Median rent, asking",Woodside and Sunnyside,2475,"Woodside and Sunnyside,New York, NY",-73.9160361,40.7432366,"$2,475.00 "
18,"Median rent, asking",Jackson Heights,1875,"Jackson Heights,New York, NY",-73.8830701,40.7556818,"$1,875.00 "
19,"Median rent, asking",Elmhurst and Corona,1800,"Elmhurst and Corona,New York, NY",-73.8679552,40.7419849,"$1,800.00 "
20,"Median rent, asking",Ridgewood and Maspeth,2100,"Ridgewood and Maspeth,New York, NY",-73.899311,40.711307,"$2,100.00 "
21,"Median rent, asking",Rego Park and Forest Hills,2100,"Rego Park and Forest Hills,New York, NY",-73.8534734,40.7273394,"$2,100.00 "
22,"Median rent, asking",Flushing and Whitestone,1950,"Flushing and Whitestone,New York, NY",-73.833079,40.7674987,"$1,950.00 "
23,"Median rent, asking",Hillcrest and Fresh Meadows,1750,"Hillcrest and Fresh Meadows,New York, NY",-73.7819243,40.7292565,"$1,750.00 "
24,"Median rent, asking",Kew Gardens and Woodhaven,1800,"Kew Gardens and Woodhaven,New York, NY",-73.8272029,40.705695,"$1,800.00 "
25,"Median rent, asking",South Ozone Park and Howard Beach,2171,"South Ozone Park and Howard Beach,New York, NY",-73.8408476,40.6612174,"$2,171.00 "
26,"Median rent, asking",Bayside and Little Neck,2200,"Bayside and Little Neck,New York, NY",-73.739473,40.7669896,"$2,200.00 "
27,"Median rent, asking",Jamaica and Hollis,1800,"Jamaica and Hollis,New York, NY",-73.771711,40.7102714,"$1,800.00 "
28,"Median rent, asking",Queens Village,1825,"Queens Village,New York, NY",-73.7948516,40.7282239,"$1,825.00 "
29,"Median rent, asking",Rockaway and Broad Channel,1850,"Rockaway and Broad Channel,New York, NY",-73.8213213,40.6158335,"$1,850.00 "
30,"Median rent, asking",St. George and Stapleton,1867.5,"St. George and Stapleton,New York, NY",-74.0799469,40.6427017,"$1,867.50 "
31,"Median rent, asking",South Beach and Willowbrook,1775,"South Beach and Willowbrook,New York, NY",-74.0668076,40.5903824,"$1,775.00 "
32,"Median rent, asking",Tottenville and Great Kills,1825,"Tottenville and Great Kills,New York, NY",-74.156292,40.5543273,"$1,825.00 "
33,"Median rent, asking",Financial District,3950,"Financial District,New York, NY",-74.0082787,40.7077143,"$3,950.00 "
34,"Median rent, asking",Greenwich Village and Soho,3700,"Greenwich Village and Soho,New York, NY",-74.0029883,40.723301,"$3,700.00 "
35,"Median rent, asking",Lower East Side and Chinatown,3150,"Lower East Side and Chinatown,New York, NY",-73.9970307,40.7157509,"$3,150.00 "
36,"Median rent, asking",Clinton and Chelsea,3750,"Clinton and Chelsea,New York, NY",-73.994137,40.7620382,"$3,750.00 "
37,"Median rent, asking",Midtown,3830,"Midtown,New York, NY",-73.9840195,40.7549309,"$3,830.00 "
38,"Median rent, asking",Stuyvesant Town and Turtle Bay,3339,"Stuyvesant Town and Turtle Bay,New York, NY",-73.9778494,40.7316903,"$3,339.00 "
39,"Median rent, asking",Upper West Side,3295,"Upper West Side,New York, NY",-73.9753676,40.7870106,"$3,295.00 "
40,"Median rent, asking",Upper East Side,2799,"Upper East Side,New York, NY",-73.9565551,40.7735649,"$2,799.00 "
41,"Median rent, asking",Morningside Heights and Hamilton Heights,2533,"Morningside Heights and Hamilton Heights,New York, NY",-73.9624327,40.8089564,"$2,533.00 "
42,"Median rent, asking",Central Harlem,2150,"Central Harlem,New York, NY",-73.9464769,40.8115504,"$2,150.00 "
